tmdb_id,genre_ids
15916,"16,14,9648"
5528,18
653,"14,27"
336,37
16237,"16,28,878,10770"
801335,"80,53,10770"
96721,"18,28"
203217,35
24428,"878,28,12"
3114,37
724495,"28,18,36"
19026,"16,10751"
804095,"18,35"
40619,"16,10751"
137182,18
309,18
242582,"80,18,53"
15121,"18,10751,10402,10749"
244063,"18,10749"
28162,"35,14,10749,18"
9806,"28,12,16,10751"
614917,"18,36"
537116,"18,10402"
272,"28,80,18"
20123,"18,35,80,14"
11299,"28,16,878"
632,"35,10752,18"
414906,"80,9648,53"
499,18
1027014,"16,35,10749"
851,"18,10749"
965150,18
297222,"35,18,12,878"
14811,"18,10749"
13187,"16,10751,35,10770"
990,"18,10749"
587272,35
583083,"35,10749"
221732,"28,12,18,14"
9023,"16,12,35,10751,18"
1040,18
767,"12,14"
688,"18,10749"
22881,18
13151,"16,9648,10751,27"
20139,18
4808,"35,9648,10749"
841755,"16,28,14"
575452,"18,80,53"
508933,35
1075,"35,10749,80"
30959,"27,14,18"
83666,"35,18,10749"
51608,"28,53,80"
8416,18
1633,"18,35"
4480,18
288,"37,18"
498249,35
8016,18
238628,"18,10752"
5910,"80,18"
581577,"10752,18"
369299,"35,10749"
675,"12,14"
803700,18
795514,18
13929,"16,10751"
286217,"18,12,878"
446159,"9648,37,53"
371645,"12,35,18"
522627,"28,80,35"
167581,"18,10749"
16306,"16,878"
845,"80,53"
773,"35,18"
993,"9648,53,80,35"
44214,"18,53,27"
49992,"10751,16"
27040,"9648,14"
2493,"12,10751,14,35,10749"
68,"35,878"
164,"35,10749,18"
756999,"27,53"
11898,"35,18,80"
1904,"18,10749,36"
1632,"18,80"
108,18
247,"80,53"
426426,18
23832,"12,35"
342470,"10749,18"
100402,"28,12,878"
82702,"14,28,12,16,35,10751"
11474,"28,53"
3763,"27,18"
11787,"35,14"
1587,"10749,18"
14580,"80,53"
980,"37,18"
589739,"16,10751,35"
891,"18,36,9648,53"
12516,"14,18"
12548,"35,18"
336808,"18,12"
578,"27,53,12"
158,"35,80"
15794,"80,18,53"
8358,"12,18"
637649,"53,28,80"
580175,"35,18"
471707,18
4497,18
11482,"53,27,9648"
177945,18
144288,"28,12,18,14,16"
10633,"80,18,9648,53"
261,18
466420,"80,18,36"
76600,"878,12,28"
12219,"80,18,10770"
995,"37,12"
110160,"18,10749"
11362,"12,18,36"
4347,"18,10749"
1592,"80,18,9648,53"
99,"35,18"
573171,"16,12,35,10751"
50531,35
13002,"16,10751"
399566,"28,878,53"
227932,35
976,18
218,"28,53,878"
51739,"14,16,10751"
12093,"80,18"
37247,"35,18,10749"
29154,18
15137,"16,878,28,18"
8832,18
2433,"10749,35,18"
812,"16,10751,12,14,10749"
702,18
966220,"10752,28,18"
12501,"18,37,10749"
981,"35,10749"
320007,"80,53,10749"
30020,18
4995,18
597922,"18,35,10752"
28580,18
871,"878,12,18,28"
672322,"28,12,18,10749"
221731,"28,12,18,14"
13980,"28,16,36"
534780,"80,9648,53"
513434,"35,27"
1726,"28,878,12"
313297,"16,12,10751"
1939,"18,9648"
643,"18,36,10752"
466282,"35,10749"
207703,"80,35,28,12"
877703,"28,14,10770"
728118,"10752,18,36"
4495,"18,14"
514439,"18,14"
596054,"35,53"
793,"80,9648,53,10749"
