director_id,name,birthYear,deathYear,primaryProfession,knownForTitles
nm0474511,Temuri Kuliani,1959,\N,director,tt0274818
nm0474797,Dharam Kumar,1919,1993,director,"tt0214059,tt0214207,tt2761622,tt0176110"
nm0475535,Sulejman Kupusovic,1951,2014,director,"tt0490332,tt0075591,tt1926957,tt1407818"
nm0475715,Nikita Kurikhin,1922,1968,director,"tt0312428,tt0314947,tt0060744,tt0167346"
nm0476956,Boris Kvashnev,1948,\N,director,"tt0103668,tt5790510,tt13840234,tt14577022"
nm0477759,Judit Kóthy,1950,\N,director,"tt28119127,tt0148548"
nm0481552,Jalmari Lahdensuo,1880,1931,director,tt0016231
nm0482518,Valérie Lalonde,1947,\N,director,"tt0270025,tt0454518,tt0265355,tt0265635"
nm0486419,Michael Langham,1919,2011,director,"tt0079379,tt0341777,tt0225087,tt0159876"
nm0490082,Gray Latham,1866,\N,director,"tt0220041,tt0229277,tt0229359"
nm0491557,Eugène Lauste,1857,1935,director,"tt0229277,tt0229359"
nm0493721,Christian Lazarescu,1964,\N,director,tt0192733
nm0497702,Kwang-hoon Lee,1959,\N,director,"tt0377633,tt0140968,tt0298493,tt0293844"
nm0500799,Danilo Lejardi,1947,\N,director,tt0179557
nm0501865,György Lengyel,1936,\N,director,"tt18673626,tt18566318,tt4118206,tt13669276"
nm0505528,Joseph Levigard,1903,1931,director,"tt0020418,tt0365195,tt0019713,tt0020383"
nm0508876,Rein Liblic,1952,2006,director,"tt5495796,tt0352429,tt0310330,tt0194377"
nm0511602,Gustaf Linden,1875,1936,director,"tt0001717,tt8666800,tt0235364,tt0001380"
nm0511718,John-Lennart Linder,1911,2009,director,tt0037291
nm0513481,Atilio Lipizzi,1867,\N,director,"tt0200005,tt0199515"
nm0516493,Victor Lobl,1940,\N,director,"tt0112178,tt0176357,tt0086822,tt0106145"
nm0519801,Faust Lopatinsky,1899,1937,director,"tt11990438,tt13545156,tt0017513,tt21416262"
nm0525711,Edo Lukman,1949,\N,director,"tt0391866,tt0764232,tt0224190"
nm0526553,Oliver Lundquist,1916,2008,director,tt0036512
nm0529551,Thierry Lécuyer,1957,\N,director,"tt8037106,tt0168432"
nm0529969,Luis López Varona,1968,\N,director,"tt0115904,tt0240508,tt0240399"
nm0531751,Hettie Macdonald,1962,\N,director,"tt0115640,tt0436992,tt2577192,tt2232345"
nm0534391,Robert Roy MacVeigh,1955,1992,director,tt0106755
nm0537361,Kenzô Maihara,1961,\N,director,"tt3786488,tt9033440,tt1526067,tt0997404"
nm0538467,Vladimir Makedonskiy,1940,\N,director,"tt0308422,tt0175925,tt0108013,tt2074470"
nm0538538,Mukadas Makhmudov,1926,1991,director,"tt0089403,tt0294526,tt0175057,tt0312454"
nm0541921,Datta Mane,1922,1980,director,"tt0238240,tt0238495,tt0238365,tt0238637"
nm0552726,Marcel Martin,1942,\N,director,"tt0341800,tt0220493,tt0270313"
nm0554408,Sergey Martyanov,1954,\N,director,"tt1527632,tt0300351,tt0100832"
nm0554867,Jorge Martínez Isaac,1923,\N,director,tt0258090
nm0556447,John Nevil Maskelyne,1839,1917,director,"tt13905732,tt0193339,tt2144330"
nm0559597,Hiroki Matsuno,1925,\N,director,"tt10168524,tt0203635"
nm0567351,John L. McCutcheon,1883,1953,director,"tt0484606,tt0015057,tt0403293,tt0014250"
nm0575984,Natalya Medyuk,1946,\N,director,tt0151230
nm0576850,Bob Meillon,1943,2012,director,"tt0094481,tt0082201,tt0081875,tt0086689"
nm0581779,Titus Mesaros,1925,2006,director,"tt0136400,tt0172085,tt0172588,tt0140503"
nm0583444,Franziska Meyer Price,1962,\N,director,"tt3954222,tt0312097,tt1801809,tt1792646"
nm0589929,Brian Mills,1933,2006,director,"tt0053494,tt1767257,tt0163939,tt0072489"
nm0592551,Lev Mirsky,1925,1996,director,"tt0177880,tt0190859,tt5598144,tt0414640"
nm0593889,Anthony Mithradas,1913,2017,director,"tt0214504,tt26742893,tt26741410,tt15083794"
nm0598163,Sergio Moniz,1935,\N,director,"tt0193055,tt0059614,tt0193471"
nm0598549,Paul Monroe,1910,1987,director,"tt0042168,tt0143077,tt0042117"
nm0600503,Laurence Moody,1948,\N,director,"tt0068069,tt0088621,tt0334874,tt8514236"
nm0603050,Edward A. Morange,1865,1955,director,tt0004037
nm0606781,Martin Morris,1936,2022,director,"tt0185408,tt0080293,tt0283244"
nm0607940,Cavendish Morton,1874,1939,director,tt0006471
nm0608384,Ion Moscu,1926,2009,director,"tt0172084,tt0172167,tt0172864,tt0172200"
nm0609678,Alfred Moul,1852,1924,director,tt0000121
nm0610798,Mariya Muat,1951,\N,director,"tt4146004,tt0374349,tt1293812,tt3110614"
nm0611581,Saumyen Mukherji,1915,\N,director,"tt0245408,tt0155972,tt0244972,tt0245073"
nm0612752,Ducho Mundrov,1920,2012,director,"tt0151249,tt0253488,tt0309776,tt0172322"
nm0613606,Shinobu Murata,1950,\N,director,"tt5471744,tt8182604,tt0298136,tt0190368"
nm0615480,Murugadasa,1900,\N,director,"tt0245310,tt0245349,tt0245002,tt0245264"
nm0616713,Frank Myers,1909,\N,director,tt0141563
nm0617038,Georgi Mylnikov,1937,2000,director,tt0237529
nm0621265,A. Narayan,1900,1939,director,"tt0247373,tt0247721,tt0247464,tt0247463"
nm0621872,Boris Nashchekin,1938,1993,director,tt0237590
nm0624412,Dinu Negreanu,1917,2004,director,"tt0154125,tt0137159,tt0155097,tt0154948"
nm0627561,Valentin Nevzorov,1918,1961,director,"tt3493842,tt0049149"
nm0631407,Gleb Nifontov,1922,1991,director,"tt0146363,tt3069768"
nm0631714,Oleg Nikitin,1946,\N,director,"tt0082860,tt5476268,tt0264095"
nm0633721,Roberto Nobre,1903,1969,director,tt0015676
nm0637450,Jan Nowina-Przybylski,1902,1938,director,"tt0025476,tt0027231,tt0027897,tt0029065"
nm0638267,Erich Nussbaum,1934,2011,director,"tt0172251,tt0173177,tt0172108,tt0172197"
nm0639069,Antal Németh,1903,1968,director,tt0037036
nm0642610,John O'Shaughnessy,1907,1985,director,tt0221565
nm0647849,Ilya Olshvanger,1923,1979,director,"tt0059493,tt0062508,tt1779836"
nm0659549,S. Panju,1915,1984,director,"tt0233650,tt0234959,tt0234066,tt0234700"
nm0664147,Henry-Alexandre Parys,1901,\N,director,"tt0259071,tt0258808,tt0263799,tt0263823"
